,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
1131,,,,GTEX-11VI4-0001-SM-5S2OI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,,,,GTEX-11VI4-0003-SM-58Q81,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,,,,GTEX-11VI4-0003-SM-5DWTX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,,,,GTEX-11VI4-0003-SM-6WBUJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,,,,GTEX-11VI4-0006-SM-5N9D8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,GTEX-11WQC-0003-SM-58Q8N,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,GTEX-11WQC-0003-SM-5DWTG,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,,,,GTEX-11WQC-0003-SM-6WBU8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,,,,GTEX-11WQC-0006-SM-5LZVP,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,GTEX-11WQK-0003-SM-58Q8U,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,,,,GTEX-11WQK-0003-SM-5DWTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,GTEX-11WQK-0003-SM-6WBUB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,,,,GTEX-11WQK-0005-SM-5O9AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,,,,GTEX-11XUK-0003-SM-58Q8M,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,,,,GTEX-11XUK-0003-SM-5DWTF,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,GTEX-11XUK-0003-SM-6WBU7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,,,,GTEX-11XUK-0005-SM-5LU9F,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,,,,GTEX-11ZTS-0001-SM-58Q8K,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,GTEX-11ZTS-0001-SM-5DWTD,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,GTEX-11ZTS-0001-SM-6WBU5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,GTEX-11ZTS-0005-SM-5NQ8A,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,GTEX-11ZTT-0002-SM-5S2PA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,GTEX-11ZTT-0003-SM-58Q8I,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,,,,GTEX-11ZTT-0003-SM-5DWTB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,,,,GTEX-11ZTT-0003-SM-6WBU4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,,,,GTEX-11ZTT-0006-SM-5N9FX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,GTEX-11ZU8-0001-SM-58Q8J,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,,,,GTEX-11ZU8-0001-SM-5DWTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,GTEX-11ZU8-0001-SM-DLIPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,,,,GTEX-11ZU8-0005-SM-5PNU5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,,,,GTEX-11ZUS-0003-SM-58Q8H,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,,,,GTEX-11ZUS-0003-SM-5DWTA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,,,,GTEX-11ZUS-0003-SM-6WBU3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,GTEX-11ZUS-0006-SM-5O9AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,,,,GTEX-11ZVC-0004-SM-58Q8O,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,GTEX-11ZVC-0004-SM-5DWTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,,,,GTEX-11ZVC-0004-SM-6WBU9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,,,,GTEX-11ZVC-0006-SM-5N9GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,,,,GTEX-1211K-0001-SM-5S2P9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,,,,GTEX-1211K-0003-SM-58Q98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,,,,GTEX-1211K-0003-SM-5DWTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,,,,GTEX-1211K-0003-SM-7DRPU,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,,,,GTEX-1211K-0003-SM-CLTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,,,,GTEX-1211K-0006-SM-5MR53,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,,,,GTEX-12126-0001-SM-58Q8L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,,,,GTEX-12126-0001-SM-5DWTE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,,,,GTEX-12126-0001-SM-6WBU6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,,,,GTEX-12126-0006-SM-5O9B8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,,,,GTEX-1212Z-0002-SM-5SI6W,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,,,,GTEX-1212Z-0004-SM-58Q8P,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,,,,GTEX-1212Z-0004-SM-5DWTI,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,,,,GTEX-1212Z-0004-SM-7DRQE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,,,,GTEX-1212Z-0006-SM-5NQ8M,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,,,,GTEX-12584-0004-SM-58Q8Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,,,,GTEX-12584-0004-SM-5DWTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,,,,GTEX-12584-0004-SM-7DRPH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,,,,GTEX-12584-0005-SM-5N9GM,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,,,,GTEX-12696-0002-SM-5SI6U,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,,,,GTEX-12696-0003-SM-5DWTK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451,,,,GTEX-12696-0005-SM-5LZYS,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,,,,GTEX-1269C-0003-SM-5S2PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,,,,GTEX-1269C-0005-SM-5N9CJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,,,,GTEX-12BJ1-0001-SM-5DU4Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,,,,GTEX-12BJ1-0001-SM-7DRPO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,,,,GTEX-12BJ1-0003-SM-5SI6V,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,,,,GTEX-12BJ1-0006-SM-5SIB5,,,,,,,,,,,,,,,,,,,,,,,,,,,
